latitude,subregion_aemet,altitude,site,name,synindic,longitude,district,city,subregion,region
41.587500000000006,BARCELONA,74,0252D,ARENYS DE MAR,08186,2.54,Arenys de Mar,Arenys de Mar,Barcelona,Catalunya
41.29277777777778,BARCELONA,4,0076,BARCELONA AEROPUERTO,08181,2.0700000000000003,,El Prat de Llobregat,Barcelona,Catalunya
41.41833333333333,BARCELONA,408,0200E,"BARCELONA, FABRA",,2.1241666666666665,Barcelona,Barcelona,Barcelona,Catalunya
41.39055555555556,BARCELONA,6,0201D,BARCELONA,08180,2.2,Barcelona,Barcelona,Barcelona,Catalunya
41.72,BARCELONA,291,0149X,MANRESA,08174,1.840277777777778,Manresa,Manresa,Barcelona,Catalunya
41.52361111111111,BARCELONA,146,0229I,SABADELL AEROPUERTO,08192,2.1030555555555557,,Sabadell,Barcelona,Catalunya
41.65083333333333,BARCELONA,40,0255B,SANTA SUSANNA,08188,2.6969444444444446,,Santa Susanna,Barcelona,Catalunya
41.91166666666666,GIRONA,143,0367,GIRONA AEROPUERTO,08184,2.763333333333333,,Aiguaviva,Girona,Catalunya
41.980000000000004,GIRONA,95,0370B,"GIRONA, ANTIC INSTITUT",,2.8252777777777776,Girona,Girona,Girona,Catalunya
42.10444444444445,GIRONA,157,0372C,PORQUERES,08120,2.763611111111111,Les Pedreres,Porqueres,Girona,Catalunya
42.19138888888889,GIRONA,675,0324A,RIPOLL,08118,2.196111111111111,Ripoll,Ripoll,Girona,Catalunya
41.144999999999996,TARRAGONA,71,0016A,REUS AEROPUERTO,08175,1.163611111111111,,Reus,Tarragona,Catalunya
40.95805555555556,TARRAGONA,32,0002I,VANDELLÒS  ,08169,0.8713888888888889,,Vandellòs l'Hospitalet de l'Infant,Tarragona,Cataluña
43.30694444444444,A CORUÑA,98,1387E,A CORUÑA AEROPUERTO,08002,-8.371944444444445,Alvedro,Culleredo,La Coruña,Galicia
43.365833333333335,A CORUÑA,58,1387,A CORUÑA,08001,-8.421388888888888,A Coruña,A Coruña,A Coruña,Galicia
43.160555555555554,A CORUÑA,50,1393,CABO VILÁN,08006,-9.210833333333333,,Camariñas,A Coruña,Galicia
43.78611111111111,A CORUÑA,80,1351,ESTACA DE BARES,08004,-7.684722222222223,,Mañón,A Coruña,Galicia
42.92472222222222,A CORUÑA,230,1400,FISTERRA,08040,-9.29138888888889,,Fisterra,A Coruña,Galicia
42.720555555555556,A CORUÑA,685,1437O,MONTE IROITE,08043,-8.923333333333332,,Porto do Son,A Coruña,Galicia
42.73833333333334,A CORUÑA,100,1473A,PADRÓN,08039,-8.627222222222223,,Padrón,La Coruña,Galicia
42.88805555555555,A CORUÑA,370,1428,SANTIAGO DE COMPOSTELA AEROPUERTO,08042,-8.410555555555556,,O Pino,A Coruña,Galicia
42.876111111111115,A CORUÑA,240,1475X,SANTIAGO DE COMPOSTELA,08041,-8.555833333333334,Santiago de Compostela,Santiago de Compostela,A Coruña,Galicia
43.566944444444445,ASTURIAS,127,1212E,ASTURIAS AEROPUERTO,08011,-6.0441666666666665,,Castrillón,Asturias,Principado de Asturias
43.56916666666667,ASTURIAS,60,1283U,CABO BUSTO,08010,-6.47,,Valdés,Asturias,Principado de Asturias
43.655833333333334,ASTURIAS,100,1210X,CABO PEÑAS,08012,-5.8486111111111105,,Gozón,Asturias,Principado de Asturias
43.52472222222222,ASTURIAS,40,1331A,CASTROPOL,08009,-7.0313888888888885,Castropol,Castropol,Asturias,Principado de Asturias
43.52305555555555,ASTURIAS,26,1207U,"GIJÓN, CAMPUS",08014,-5.621111111111111,,Gijón,Asturias,Principado de Asturias
43.541666666666664,ASTURIAS,22,1208A,GIJÓN. LA MERCED,,-5.661944444444445,Gijón,Gijón,Asturias,Principado de Asturias
43.559999999999995,ASTURIAS,5,1208H,"GIJÓN, PUERTO",08014,-5.700833333333334,Gijón,Gijón,Asturias,Principado de Asturias
43.538888888888884,ASTURIAS,3,1208,GIJÓN,,-5.637499999999999,Gijón,Gijón,Asturias,Principado de Asturias
43.42027777777778,ASTURIAS,10,1183X,LLANES,08016,-4.748055555555555,Llanes,Llanes,Asturias,Principado de Asturias
43.35333333333333,ASTURIAS,336,1249I,OVIEDO,08015,-5.874166666666667,Oviedo,Oviedo,Asturias,Principado de Asturias
43.35333333333333,ASTURIAS,336,1249X,OVIEDO,08015,-5.874166666666667,Oviedo,Oviedo,Asturias,Principado de Asturias
42.978611111111114,ASTURIAS,1480,1221D,PAJARES-VALGRANDE,08031,-5.776388888888889,,Lena,Asturias,Principado de Asturias
42.994166666666665,ASTURIAS,1530,1542,PUERTO DE LEITARIEGOS,08052,-6.4141666666666675,,Villablino,León,Castilla y León
43.29805555555556,BIZKAIA,42,1082,BILBAO AEROPUERTO,08025,-2.906388888888889,,Loiu,Vizcaya,País Vasco
43.20333333333333,BIZKAIA,208,1078I,GÜEÑES,08035,-3.104722222222222,,Güeñes,Vizcaya,País Vasco
43.37694444444445,BIZKAIA,12,1055B,LEKEITIO,08024,-2.5102777777777776,,Lekeitio,Vizcaya,País Vasco
43.45388888888889,BIZKAIA,93,1057B,MACHICHACO,,-2.7527777777777778,,Bermeo,Vizcaya,País Vasco
43.375,BIZKAIA,90,1059X,PUNTA GALEA,08059,-3.0216666666666665,,Guecho,Vizcaya,País Vasco
43.39472222222222,CANTABRIA,45,1083L,CASTRO URDIALES,08020,-3.233888888888889,,Castro-Urdiales,Cantabria,Cantabria
43.39333333333333,CANTABRIA,38,1159,SAN VICENTE DE LA BARQUERA,08017,-4.392222222222222,San Vicente de la Barquera,San Vicente de la Barquera,Cantabria,Cantabria
43.42388888888889,CANTABRIA,3,1109,SANTANDER AEROPUERTO,08021,-3.8255555555555554,Maliaño,Camargo,Cantabria,Cantabria
43.465,CANTABRIA,64,1110,"SANTANDER, CIUDAD",,-3.8188888888888886,Santander,Santander,Cantabria,Cantabria
43.49111111111111,CANTABRIA,52,1111,SANTANDER,08023,-3.8005555555555555,,Santander,Cantabria,Cantabria
43.49111111111111,CANTABRIA,52,1111X,SANTANDER,08023,-3.8005555555555555,,Santander,Cantabria,Cantabria
43.30638888888888,GIPUZKOA,251,1024E,"DONOSTIA/SAN SEBASTIÁN, IGUELDO",08027,-2.041111111111111,,San Sebastián,Guipúzcoa,País Vasco
43.20944444444445,GIPUZKOA,119,1050J,ELGOIBAR,08036,-2.413333333333333,,Elgoibar,Guipúzcoa,País Vasco
43.356944444444444,GIPUZKOA,4,1014,"HONDARRIBIA, MALKARROA",08029,-1.7922222222222222,,Fuenterrabía,Guipúzcoa,País Vasco
43.356944444444444,GIPUZKOA,4,1014A,SAN SEBASTIÁN AEROPUERTO,08029,-1.7922222222222222,,Fuenterrabía,Guipúzcoa,País Vasco
43.30222222222222,GIPUZKOA,28,1041A,ZUMAIA,08026,-2.2511111111111113,Zumaya,Zumaya,Guipúzcoa,País Vasco
43.080000000000005,GIPUZKOA,420,1037Y,ZUMARRAGA,08037,-2.3175,Zumarraga,Zumarraga,Guipúzcoa,País Vasco
42.56388888888888,LEON,534,1549,PONFERRADA,08053,-6.6,Compostilla,Ponferrada,León,Castilla y León
43.11138888888889,LUGO,445,1505,LUGO AEROPUERTO,08008,-7.4575000000000005,,Castro de Rei,Lugo,Galicia
